Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15463362,Asmartoctopus,"2026-04-13 12:45:08",0.86,26,vu9480
2,15422998,Ali,"2026-04-13 16:44:06",0.86,75,asalhi
3,15474589,"seddik turki","2026-04-13 12:22:41",0.86,75,"analyticaobscura,kienngx,seddiktrk"
4,15417185,senkin13,"2026-04-13 07:23:52",0.86,14,senkin13
5,15418408,"Queen of Hearts","2026-04-13 12:44:42",0.86,10,devchopin
6,15419487,Mattpelor,"2026-04-13 10:39:26",0.86,11,mattpelor
7,15420581,"Aman Atar","2026-04-13 14:40:57",0.86,25,amanatar
8,15481685,koulet_221B,"2026-04-13 15:49:57",0.86,19,koubasho
9,15445754,"⬆️ Van-Phuc Huynh","2026-04-13 18:08:34",0.86,55,hvanphucs112
10,15574074,Roadie,"2026-04-13 19:05:43",0.86,4,akbroe
11,15416669,"Tong Hui Kang","2026-04-12 19:51:39",0.85,50,huikang
12,15416632,"🌌 Wonderland","2026-04-12 20:40:18",0.85,26,"kpriyanshu256,nbroad,rashmibanthia"
13,15437506,"James Day","2026-04-12 20:46:36",0.85,21,jsday96
14,15420029,renta.k,"2026-04-13 06:16:41",0.85,84,renta0426
15,15549287,"Chew Kok Wah","2026-04-12 21:38:34",0.85,6,chewkokwahibrainai
16,15418453,CCT,"2026-04-13 00:04:18",0.85,16,chuhanwu86
17,15597306,sohatiy,"2026-04-12 22:20:19",0.85,3,"ilolss,sohatiy"
18,15479360,"Lior Toledano","2026-04-12 22:40:36",0.85,15,liortoledano
19,15420644,Handudu,"2026-04-13 02:08:57",0.85,30,"handudu,theunforgiven7"
20,15521683,"A night is worth 16x16 tasks","2026-04-12 23:53:09",0.85,25,"dwctien,ldthanh,ngochoang3691"
21,15426466,"Ryan Adams","2026-04-13 13:33:49",0.85,37,ryanadamsai
22,15417660,"Surya milenial","2026-04-13 10:17:36",0.85,14,suryamilenial
23,15443104,Emotron,"2026-04-13 01:46:09",0.85,17,"bogdandidenko,goader,robinhad"
24,15441661,MVIDEO,"2026-04-13 02:24:11",0.85,2,antonoof
25,15437025,"Ralph Neumann","2026-04-13 11:39:35",0.85,57,xscripter
26,15416881,"Korea Kimchi Klan","2026-04-13 03:20:35",0.85,11,megayak
27,15454505,"Luck is what I need","2026-04-13 03:47:24",0.85,32,majiaqi111
28,15460983,"Kevin E R MILLE","2026-04-13 10:33:21",0.85,11,kevinermille
29,15416822,Bazinga!,"2026-04-13 11:18:25",0.85,16,"damndeepesh,swapisticated"
30,15582193,江东,"2026-04-13 03:28:21",0.85,4,niubi666
31,15454781,"DaoHe Liu","2026-04-13 03:57:04",0.85,36,daoheliu
32,15438562,kwang,"2026-04-13 04:44:21",0.85,25,gmhost
33,15416691,dynamic24,"2026-04-13 16:58:50",0.85,3,dynamic24
34,15420574,"Ali Haydar Özdağ","2026-04-13 14:14:48",0.85,12,ahoirg
35,15597450,Panuza1,"2026-04-13 10:05:42",0.85,4,panuponghaichun
36,15567897,Lewbei,"2026-04-13 09:59:43",0.85,7,lewbei
37,15604498,chmtomasz,"2026-04-13 17:32:19",0.85,7,tomgaava
38,15444128,klimagapov,"2026-04-13 08:10:58",0.85,4,klimagapov
39,15504374,"Dido & Bastien","2026-04-13 19:39:14",0.85,57,"bastienramseyer,didogrigorov88"
40,15420404,"Marco Ledda","2026-04-13 08:43:25",0.85,24,marcoledda29
41,15429217,samu2505,"2026-04-13 11:53:35",0.85,5,samu2505
42,15425304,"Mathurin Ache","2026-04-13 09:42:43",0.85,24,mathurinache
43,15440433,cm391,"2026-04-13 10:02:40",0.85,13,mccocoful
44,15564293,chieken,"2026-04-13 10:28:30",0.85,20,chieken
45,15467533,hako2024,"2026-04-13 11:28:34",0.85,9,hako2024
46,15435764,NNMax,"2026-04-13 11:49:42",0.85,2,ashok205
47,15539785,"Junhua Yang","2026-04-13 15:00:13",0.85,55,junhuay
48,15455173,"Shivam Singh","2026-04-13 17:23:00",0.85,18,shivamsingh17072001
49,15465739,"Tagir Analyzes","2026-04-13 13:27:20",0.85,1,tagirkhairutdinov
50,15423307,"alice in the wonderland","2026-04-13 18:37:25",0.85,8,nabidnur
51,15440836,"Changyuan Zhou","2026-04-13 13:44:07",0.85,8,changyuanzhou
52,15572404,"The Turing Exp","2026-04-13 13:46:10",0.85,3,"alokpunjb,chiraganirudhs,ramkalabagrodia"
53,15422510,"Hu Xingyu","2026-04-13 14:05:46",0.85,8,huxingyu
54,15416810,matsu997,"2026-04-13 14:17:40",0.85,32,mastu997
55,15608218,黄耀辉,"2026-04-13 14:23:13",0.85,5,hyh273279
56,15420697,vishnuvardhan33,"2026-04-13 14:51:27",0.85,6,vishnuvardhan33
57,15602282,daphne,"2026-04-13 16:09:30",0.85,6,daphne4sg
58,15597834,"Bartosz Kasyna","2026-04-13 16:25:51",0.85,2,bartoszkasyna
59,15419587,"just gambling","2026-04-13 18:15:37",0.85,13,baidalinadilzhan
